Presenter_SK,Obtained,EventDate,EventTime,Passed,ZiffNumber,Firstname,Middlename,Surname,Day,Temperature,PetType,CoffeeType
0,Yes,03-11-1987,4:10:04,FALSE,,SONIA-LEE,,ERGINA,Tuesday,10.4,Dog,Dark
1,,12-02-2002,17:39:29,FALSE,,GUZMAN,SARRI-AHN,COOK-WYATT,Monday,31,,Medium
2,,28-12-1980,18:55:24,TRUE,,BEAU-RILEY,,LONGSHAW,Fri,-2.5,Giraffe,Roasted
3,,07-08-1984,,TRUE,1.801,FACUNDO,ELLIE,MAYOR VILACLARA,Tuesday,13.7,Snail,Dark
4,No,12-03-1994,1:16:02,TRUE,1.169,SABREEN,DORJE,BUTHELEZI,Fri,8.1,Cat,Milk
5,,09-05-2018,18:16:04,FALSE,1.176,SH,,TRUDGETT-KLOSE,Wed,27.1,,Medium
6,No,15-01-1987,12:12:53,,,SEVERA,,BRADLEY HOLMES,Thurs,18.2,Dog,Milk
7,,24-08-2019,8:55:06,FALSE,1.455,LAUINIA,,LIKOURESIS,Thurs,39.7,Cat,Dark
8,,26-06-1997,17:46:26,TRUE,1.062,EILLEEN,ILYOS,PHYSENTZOU,Fri,31.5,Elephant,Medium
9,No,14-03-1982,16:46:10,FALSE,,EDMOND,CARALEE,AZIZI-FARD,Fri,26.2,Giraffe,Milk
10,,17-04-2002,14:14:01,TRUE,1.852,SABIR,,THINRAHA,Sat,4.9,Dog,Dark
11,,22-12-1997,19:51:14,FALSE,1.786,ASHLYN,,ZISIMOPOULOS,Tuesday,23.3,Dog,Dark
12,,06-12-1988,1:31:09,TRUE,,ESCOLASTICA,THEOGENE,LANGHORN,Fri,27.4,,Roasted
13,,09-01-2000,8:50:40,FALSE,1.022,ARREN,,LAFFERTE,Monday,18.4,Giraffe,Milk
14,Yes,15-04-2007,11:03:00,,1.925,MARGERET,,ADAMSON-NAYDA,Monday,33,Cat,Roasted
15,,21-01-2014,8:02:39,,1.916,ETSUKA,RAMITHU,PEEVOR,Sat,14.4,Cat,Dark
16,Yes,14-09-2012,5:30:41,FALSE,1.276,RUJUL,CADE,GOGIA,Sat,11.5,,Roasted
17,,24-04-2002,3:11:01,TRUE,1.519,NIAOMI,LY-KHEANG,EDOLMO,Sat,5.2,Snail,Dark
18,,15-02-1993,12:14:22,FALSE,,JACUELLEN,,MCKINLAY,Monday,5.7,Giraffe,Roasted
19,No,05-07-1998,16:57:38,TRUE,1.882,NAKYAH,,MCINTRYE,Sun,-0.1,,Roasted
20,Yes,,22:47:28,,1.586,TEGAN-ROSE,,SARD,Sat,11.6,,Roasted
21,No,25-02-2005,7:07:22,FALSE,1.212,ANTUCO,MIN-HEE,BISWA,Tuesday,10.6,Cat,Milk
22,,21-10-2011,22:39:41,TRUE,,SHAHREZA,TRIXI,KOONGAHAGODA,Tuesday,1.3,,
23,,16-02-2014,11:05:55,TRUE,,FILIMONE,,LIMBERIS,Thurs,13.3,Elephant,Roasted
24,Yes,30-10-2015,20:33:25,FALSE,1.155,YINA,,ABDULLA,Tuesday,9.8,Cat,Milk
25,No,13-09-1980,8:55:54,FALSE,1.511,ASIRA,,LORENZO,Thurs,25.8,Cat,Milk
26,,30-06-2000,3:13:42,FALSE,1.257,GELIE,KRYSTY,MISKIR,Sun,1.7,Elephant,Dark
